score_v2,listing_id,title,state,industry,asking_price,cash_flow_sde,gross_revenue,sde_multiple,sde_margin,employees,location,flags_v2,url
100,2481252,"Commercial Cleaning – Turnkey, Fully Staffed - $300K Income",kansas,cleaning,740000,300615,912000,2.46,0.3296,,"Sedgwick County, KS",memo-sourced|detail-scraped,https://www.bizbuysell.com/business-opportunity/commercial-cleaning-turnkey-fully-staffed-300k-income/2481252/
93,2473232,25 Year Carpet Cleaning  - Semi Absentee - Seller Financing,virginia,cleaning,344500,140308,357823,2.46,0.3921,2,"Virginia Beach, VA",detail-scraped,https://www.bizbuysell.com/business-opportunity/25-year-carpet-cleaning-semi-absentee-seller-financing/2473232/
91,2389517,Established Window & Gutter Cleaning Business – High Recurring Revenue,california,cleaning,248000,116256,199849,2.13,0.5817,1,"Santa Clara County, CA",detail-scraped,https://www.bizbuysell.com/business-opportunity/established-window-and-gutter-cleaning-business-high-recurring-revenue/2389517/
88,2458392,Absentee Commercial Janitorial Business | NON-SBA,california,cleaning,600000,191666,646900,3.13,0.2963,8,"Orange County, CA",detail-scraped,https://www.bizbuysell.com/business-opportunity/absentee-commercial-janitorial-business-non-sba/2458392/
81,2467864,Profitable Pressure Washing Business: Turnkey,texas,cleaning,1250000,370611,824957,3.37,0.4492,3,"Fort Worth, TX",detail-scraped,https://www.bizbuysell.com/business-opportunity/profitable-pressure-washing-business-turnkey/2467864/
81,2485180,Recurring Property Maintenance Business,texas,cleaning,178900,155898,671384,1.15,0.2322,4,"Houston, TX",detail-scraped,https://www.bizbuysell.com/business-opportunity/recurring-property-maintenance-business/2485180/
81,2477118,Profitable HVAC Business with Strong Brand | Semi-Absentee Owner,texas,hvac,725000,245519,771294,2.95,0.3183,2,"Tarrant County, TX",license-risk|detail-scraped,https://www.bizbuysell.com/business-opportunity/profitable-hvac-business-with-strong-brand-semi-absentee-owner/2477118/
81,2484468,Profitable Pest Control Business: Turnkey & Recession Proof,texas,pest-control,800000,254562,571516,3.14,0.4454,2,"Tarrant County, TX",license-risk|memo-verified|detail-scraped,https://www.bizbuysell.com/business-opportunity/profitable-pest-control-business-turnkey-and-recession-proof/2484468/
81,2489131,"SBA High-Margin Cleaning Business $718,200 Revenue | $315,425 SDE",massachusetts,cleaning,895000,326402,718200,2.74,0.4545,15,"Middlesex County, MA",memo-sourced|detail-scraped,https://www.bizbuysell.com/business-opportunity/sba-high-margin-cleaning-business-718k-revenue-287-963k-sde/2489131/
80,2480888,Profitable Turnkey Business-$306k SDE-Seller Financing Available,california,cleaning,1075000,306000,950000,3.51,0.3221,5,"Salida, CA",detail-scraped,https://www.bizbuysell.com/business-opportunity/profitable-turnkey-business-306k-sde-seller-financing-available/2480888/
79,2491534,30-Year Janitorial Company | 90%+ Recurring Revenue | Absentee-Ready,california,cleaning,700000,190000,700000,3.68,0.2714,10,"Orange County, CA",price-high:3.68x-vs-3.00x|memo-sourced|detail-scraped,https://www.bizbuysell.com/business-opportunity/30-year-janitorial-company-90-recurring-revenue-absentee-ready/2491534/
77,2469359,Rapidly Growing HVAC Company in North Texas | Turnkey Operations,texas,hvac,2500000,590000,2500000,4.24,0.2360,7,"Arlington, TX",price-high:4.24x-vs-2.85x|detail-scraped,https://www.bizbuysell.com/business-opportunity/rapidly-growing-hvac-company-in-north-texas-turnkey-operations/2469359/
77,2455476,Residential HVAC Serving Oklahoma City,oklahoma,hvac,550000,220357,584264,2.50,0.3772,2,"Oklahoma City, OK",memo-sourced|detail-scraped,https://www.bizbuysell.com/business-opportunity/residential-hvac-serving-oklahoma-city/2455476/
77,2433806,Established Cleaning Service | Semi-Absentee Ownership | Scalable,ohio,cleaning,159000,50000,275000,3.18,0.1818,,"Clermont County, OH",detail-scraped,https://www.bizbuysell.com/business-opportunity/established-cleaning-service-semi-absentee-ownership-scalable/2433806/
73,2397023,Award-Winning Res Cleaning Business - Essex Co- 100% Recurring Rev,massachusetts,cleaning,125000,56704,700545,2.20,0.0809,8,"Essex County, MA",detail-scraped,https://www.bizbuysell.com/business-opportunity/award-winning-res-cleaning-business-essex-co-100-recurring-rev/2397023/
67,2476513,Turnkey Aircraft Detailing Business – Recurring Contracts,texas,cleaning,399000,,1100000,,,4,"Lubbock, TX",no-sde|detail-scraped,https://www.bizbuysell.com/business-opportunity/turnkey-aircraft-detailing-business-recurring-contracts/2476513/
67,2400908,Great Corpus Christi turnkey pool route,texas,service,257142,103549,295941,2.48,0.3499,,"Corpus Christi, TX",detail-scraped,https://www.bizbuysell.com/business-opportunity/great-corpus-christi-turnkey-pool-route/2400908/
67,2464676,"Residential Cleaning Business - Recurring Revenue Lorain County, OH",ohio,cleaning,85000,,108588,,,2,"Residential Cleaning Business - Recurring Revenue Lorain County, OH",no-sde|detail-scraped,https://www.bizbuysell.com/business-opportunity/residential-cleaning-business-recurring-revenue-lorain-county-oh/2464676/
65,2460929,Established B2B Facility Services Business with Recurring Revenue,florida,cleaning,350000,,792335,,,,"Tampa, FL",no-sde|detail-scraped,https://www.bizbuysell.com/business-opportunity/established-b2b-facility-services-business-with-recurring-revenue/2460929/
63,2485638,Profitable Pest Control Store – Absentee Operated,florida,pest-control,275000,84182,315174,3.27,0.2671,2,"Hillsborough County, FL",memo-sourced|detail-scraped,https://www.bizbuysell.com/business-opportunity/profitable-pest-control-store-absentee-operated/2485638/
63,2485131,Profitable Home Cleaning Business | 50+ Recurring Clients | $120K Rev,florida,cleaning,85000,60000,125000,1.42,0.4800,3,"Palm Beach County, FL",detail-scraped,https://www.bizbuysell.com/business-opportunity/profitable-home-cleaning-business-50-recurring-clients-120k-rev/2485131/
62,2480768,"Turnkey Carpet Cleaning & Restoration Biz – 3k Clients, $12K Monthly",california,cleaning,150000,130000,130000,1.15,1.0000,,"Mountain House, CA",detail-scraped,https://www.bizbuysell.com/business-opportunity/turnkey-carpet-cleaning-and-restoration-biz-3k-clients-12k-monthly/2480768/
60,2482755,Great 2-Territory Pink's Window Cleaning - Huntington & Long Beach,california,cleaning,115000,,,,,3,"Long Beach, CA",no-sde|no-revenue|detail-scraped,https://www.bizbuysell.com/business-opportunity/great-2-territory-pinks-window-cleaning-huntington-and-long-beach/2482755/
60,2467437,Absentee Carpet & Upholstery Business Established Clients,california,cleaning,67500,,135000,,,1,,no-sde|detail-scraped,https://www.bizbuysell.com/business-opportunity/absentee-carpet-and-upholstery-business-established-clients/2467437/
60,2395498,Turnkey 60-Year Dry Cleaner in San Mateo County,california,cleaning,135000,,216000,,,,"San Mateo County, CA",no-sde|detail-scraped,https://www.bizbuysell.com/business-opportunity/turnkey-60-year-dry-cleaner-in-san-mateo-county/2395498/
60,2437760,MOTIVATED SELLER—-Semi- Absentee Pressure Washing Business- Tampa,florida,cleaning,115000,61988,117537,1.86,0.5274,2,"Hillsborough County, FL",red:tech-dependent|detail-scraped,https://www.bizbuysell.com/business-opportunity/motivated-seller-semi-absentee-pressure-washing-business-tampa/2437760/
59,2289440,High Vol & Absentee Dry Cleaners /w Property in Dallas Uptown,texas,cleaning,2500000,294948,854810,8.48,0.3450,,"Dallas, TX",price-high:8.48x-vs-2.85x|detail-scraped,https://www.bizbuysell.com/business-opportunity/high-vol-and-absentee-dry-cleaners-w-property-in-dallas-uptown/2289440/
0,2176524,"Respected, Multi Decade Electrical Contracting Company",virginia,electrical,500000,250000,600000,2.00,0.4167,4,"Richmond, VA",delisted-404|license-risk|memo-sourced,https://www.bizbuysell.com/business-opportunity/respected-multi-decade-electrical-contracting-company/2176524/
55,2495059,Highly Recurring Landscaping Biz | $200K Rev | $135K+ SDE | $40K Down!,new-york,landscaping,99000,135000,200000,0.73,0.6750,0,"Erie County, NY",memo-sourced|detail-scraped,https://www.bizbuysell.com/business-opportunity/highly-recurring-landscaping-biz-200k-rev-135k-sde-40k-down/2495059/
54,2494705,Profitable residential cleaning company with recurring revenue,texas,cleaning,549000,,721252,,,10,"Southlake, TX",no-sde|detail-scraped,https://www.bizbuysell.com/business-opportunity/profitable-residential-cleaning-company-with-recurring-revenue/2494705/
40,2369806,Swimming Pool Cleaning and Repair Route,texas,cleaning,250000,,0,,,,"Fort Worth, TX",no-sde|detail-scraped,https://www.bizbuysell.com/business-opportunity/swimming-pool-cleaning-and-repair-route/2369806/
38,2476477,Successful Northern Summit County Plumbing Company,ohio,plumbing,375000,145000,210000,2.59,0.6905,,"Summit County, OH",memo-sourced|detail-scraped,https://www.bizbuysell.com/business-opportunity/successful-northern-summit-county-plumbing-company/2476477/
38,2331056,Exceptional Termite Control Company Tremendous Growth Potential,virginia,pest-control,375000,135000,,2.78,,,"Richmond, VA",license-risk|no-revenue,https://www.bizbuysell.com/business-opportunity/exceptional-termite-control-company-tremendous-growth-potential/2331056/
38,2432301,"High Net Electric Company In Martin County, FL",florida,hvac,799999,380684,,2.10,,,"High Net Electric Company In Martin County, FL",license-risk|no-revenue,https://www.bizbuysell.com/business-opportunity/high-net-electric-company-in-martin-county-fl/2432301/
30,2474799,Semi-Absentee SoCal Commercial HVAC 30+ Years $350K+ SDE Scale-Ready,california,hvac,,350000,,,,,"Los Angeles County, CA",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/semi-absentee-socal-commercial-hvac-30-years-350k-sde-scale-ready/2474799/
30,2407884,Profitable turnkey HVAC business with Real Estate for Sale,california,hvac,,,,,,,"Tuolumne County, CA",license-risk|no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/profitable-turnkey-hvac-business-with-real-estate-for-sale/2407884/
30,2473849,Recession Proof Norcal Absentee Owned Environmental Testing Company -,california,hvac,,750000,,,,,,license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/recession-proof-norcal-absentee-owned-environmental-testing-company/2473849/
30,2473189,Turnkey Wildlife Removal & Property Remediation Repair Business,florida,pest-control,,150000,,,,,"Jensen Beach, FL",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/turnkey-wildlife-removal-and-property-remediation-repair-business/2473189/
28,2452631,Stable Route-Based Business with Long-Term Clients,texas,pest-control,,97616,,,,,"Fort Worth, TX",license-risk|no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/stable-route-based-business-with-long-term-clients/2452631/
28,2391789,Top Roofing Company-General Contractor,oklahoma,service,,244262,,,,,,no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/top-roofing-company-general-contractor/2391789/
28,2469127,Established Tulsa Metro Cleaning Business | High Recurring Revenue,oklahoma,service,,75000,,,,,"Tulsa, OK",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/established-tulsa-metro-cleaning-business-high-recurring-revenue/2469127/
28,2488772,45-Year Two-Way Radio Sales & Service Business w/ Recurring Revenue,arkansas,service,,200000,,,,,"Sebastian County, AR",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/45-year-two-way-radio-sales-and-service-business-w-recurring-revenue/2488772/
28,2489667,Commercial Cleaning | 8-10 Hrs/Week | $156K Contracted Annual Revenue,arkansas,service,,52000,,,,,"Washington County, AR",no-asking-price|no-revenue,https://www.bizbuysell.com/business-opportunity/commercial-cleaning-8-10-hrs-week-156k-contracted-annual-revenue/2489667/
28,2449543,Dayton 4 Territory Mosquito Shield Franchise - Owner Financing!,ohio,pest-control,,,,,,,"Dayton, OH",license-risk|no-asking-price|no-sde|no-revenue,https://www.bizbuysell.com/business-opportunity/dayton-4-territory-mosquito-shield-franchise-owner-financing/2449543/
